;mean;se;bias;cp;;;;;;;;;;mean;sd;bias;cp
337;5,84213382;3,274448722;0,94737794;1;;;;;;;;;;;;;
338;1,374511802;1,118333788;-0,541829399;1;;;;;;;;;;;;;
339;7,752464943;3,733347994;1,584154981;1;;;;;;;;;;;;;
340;5,619412657;2,688220728;0,873137552;1;;;;;;;;;;;;;
341;3,276084822;2,214453899;0,092028274;1;;;;;;;;;;;;;
342;3,519918614;2,350780156;0,173306205;1;;;;;;;;;;;;;
343;15,83476768;9,286289126;4,278255894;1;;;;;;;;;;;;;
344;2,912588629;1,667971237;-0,029137124;1;;;;;;;;;;;;;
345;1,992815358;1,644567216;-0,335728214;1;;;;;;;;;;;;;
346;2,378203152;1,612733105;-0,207265616;1;;;;;;;;;;;;;
347;2,66065205;1,540634011;-0,113115983;1;;;;;;;;;;;;;
348;9,087685679;4,234830113;2,02922856;1;;;;;;;;;;;;;
349;4,255749997;2,34541108;0,418583332;1;;;;;;;;;;;;;
350;1,670072414;1,293157474;-0,443309195;1;;;;;;;;;;;;;
351;11,36925567;5,471478069;2,789751891;1;;;;;;;;;;;;;
352;3,760167819;2,270554649;0,253389273;1;;;;;;;;;;;;;
353;2,847191756;1,617105902;-0,050936081;1;;;;;;;;;;;;;
354;1,710168779;1,215798681;-0,42994374;1;;;;;;;;;;;;;
355;1,537831441;1,447752324;-0,48738952;1;;;;;;;;;;;;;
356;3,478223627;2,040497705;0,159407876;1;;;;;;;;;;;;;
357;0,491235245;1,215557633;-0,836254918;0;;;;;;;;;;;;;
358;5,890062447;3,138800908;0,963354149;1;;;;;;;;;;;;;
359;0,740881956;1,148374887;-0,753039348;0;;;;;;;;;;;;;
360;3,061879778;2,211795157;0,020626593;1;;;;;;;;;;;;;
361;3,289088005;2,041462141;0,096362668;1;;;;;;;;;;;;;
362;1,33809223;1,209694877;-0,553969257;1;;;;;;;;;;;;;
363;4,678816365;2,819714766;0,559605455;1;;;;;;;;;;;;;
